"CAS_n","Check?","ChemNames","SMILES"
"694-53-1","NO","Phenylsilane","C1=CC=C(C=C1)[Si]"
"1310-73-2","NO","Sodium Hydroxide","[OH-].[Na+]"
"7647-14-5","NO","Sodium Chloride","[Na+].[Cl-]"
"7722-84-1","NO","Hydrogen Peroxide","OO"
"108-88-3","NO","Toluene","CC1=CC=CC=C1"
"1634-04-4","NO","Methyl tert-butyl ether","CC(C)(C)OC"
"109-99-9","NO","Tetrahydrofuran","C1CCOC1"
"1076-43-3","NO","Benzene-d6","C1=CC=CC=C1"
"68-12-2","NO","N,N-Dimethylformamide","CN(C)C=O"
"71-43-2","NO","Benzene","C1=CC=CC=C1"
"109-66-0","NO","Pentane","CCCCC"
"5614-37-9","NO","Cyclopentyl methyl ether","COC1CCCC1"
"75-05-8","NO","Acetonitrile","CC#N"
"462-95-3","NO","Diethoxymethane","CCOCOCC"
"67-56-1","NO","Methanol","CO"
"142-82-5","NO","Heptane","CCCCCCC"
"127-19-5","NO","N,N-Dimethylacetamide","CC(=O)N(C)C"
"110-54-3","NO","n-HEXANE","CCCCCC"
"111-65-9","NO","Octane","CCCCCCCC"
"123-91-1","NO","Dioxane","C1COCCO1"
"107-06-2","NO","1,2-Dichloroethane","C(CCl)Cl"
"67-64-1","NO","Acetone","CC(=O)C"
"1330-20-7","YES","o-Xylene","CC1=CC=CC=C1C"
"7226-23-5","NO","1,3-Dimethyl-3,4,5,6-tetrahydro-2(1H)-pyrimidinone","CN1CCCN(C1=O)C"
"872-50-4","NO","1-Methyl-2-pyrrolidinone","CN1CCCC1=O"
"95-47-6","NO","o-Xylene","CC1=CC=CC=C1C"
"110-71-4","YES","1,2-Dimethoxyethane","COCCOC"
"840525-02-2","YES",NA,NA
"920-66-1","NO","1,1,1,3,3,3-Hexafluoro-2-propanol","C(C(F)(F)F)(C(F)(F)F)O"
"19232-05-4","YES","Dichlorobis(trimethylphosphine)nickel(II)","CP(C)C.CP(C)C.Cl[Ni]Cl"
"1295-35-8","NO","Bis(1,5-cyclooctadiene)nickel","C1CC=CCCC=C1.C1CC=CCCC=C1.[Ni]"
"1663-45-2","NO","1,2-Bis(diphenylphosphino)ethane","C1=CC=C(C=C1)P(CCP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4"
"29046-78-4","NO","Nickel(II) chloride ethylene glycol dimethyl ether complex","COCCOC.Cl[Ni]Cl"
"28923-39-9","NO","Nibr2(dme)","COCCOC.[Ni](Br)Br"
"17217-57-1","NO","4,4'-Dimethoxy-2,2'-bipyridine","COC1=CC(=NC=C1)C2=NC=CC(=C2)OC"
"3264-82-2","NO","Nickel acetylacetonate","CC(=CC(=O)C)O.CC(=CC(=O)C)O.[Ni]"
"15629-92-2","YES","1,3-Bis(diphenylphosphino)propane nickel(II) chloride","C1=CC=C(C=C1)P(CCCP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4.Cl[Ni]Cl"
"14647-23-5","YES","[1,2-Bis(diphenylphosphino)ethane]dichloronickel(II)","C1=CC=C(C=C1)P(CCP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4.Cl[Ni]Cl"
"2230171-54-5","YES",NA,NA
"2307606-21-7","YES",NA,NA
"2307606-22-8","YES",NA,NA
"2307606-23-9","YES",NA,NA
"2073878-15-4","YES",NA,NA
"2073878-16-5","YES",NA,NA
"7440-09-7","YES","Potassium ion","[K+]"
