,IncNodePurity,Features
RCTA_NumValenceElectrons,154.551622573732,RCTA_NumValenceElectrons
RCTB_96,153.982726733319,RCTB_96
RCTA_BalabanJ,153.956054275986,RCTA_BalabanJ
RCTB_fr_para_hydroxylation,153.611093525544,RCTB_fr_para_hydroxylation
RCTB_102,153.234562582724,RCTB_102
PRO_139,153.075806747808,PRO_139
PRO_67,152.871364393572,PRO_67
CAT_203,151.283015361487,CAT_203
RCTA_FpDensityMorgan2,150.95419450238,RCTA_FpDensityMorgan2
RCTA_VSA_EState8,150.934972356876,RCTA_VSA_EState8
CAT_NumHAcceptors,150.910522918779,CAT_NumHAcceptors
RCTA_SMR_VSA2,149.649357522601,RCTA_SMR_VSA2
PRO_168,148.627277446209,PRO_168
RCTB_VSA_EState3,148.203234652339,RCTB_VSA_EState3
PRO_PEOE_VSA10,147.986284716248,PRO_PEOE_VSA10
RCTA_MinAbsPartialCharge,147.954425674953,RCTA_MinAbsPartialCharge
PRO_39,144.516874050722,PRO_39
CAT_175,143.962262110849,CAT_175
CAT_PEOE_VSA5,143.539680027024,CAT_PEOE_VSA5
CAT_96,143.12607882336,CAT_96
RCTB_113,142.37016911597,RCTB_113
RCTB_NumAliphaticCarbocycles,142.237125667195,RCTB_NumAliphaticCarbocycles
RCTA_VSA_EState4,142.190589459181,RCTA_VSA_EState4
CAT_fr_ether,141.863638499448,CAT_fr_ether
RCTB_183,140.236403750518,RCTB_183
PRO_246,139.044873790198,PRO_246
RCTA_PEOE_VSA9,137.8703253448,RCTA_PEOE_VSA9
RCTB_PEOE_VSA2,137.146973407065,RCTB_PEOE_VSA2
RCTB_fr_amide,136.730747378268,RCTB_fr_amide
RCTB_216,136.363391485877,RCTB_216
PRO_SlogP_VSA10,135.879154389614,PRO_SlogP_VSA10
CAT_NumAliphaticRings,135.874356481967,CAT_NumAliphaticRings
RCTB_200,135.815163506356,RCTB_200
RCTB_EState_VSA7,132.505017515011,RCTB_EState_VSA7
PRO_113,132.089628206242,PRO_113
RCTA_HallKierAlpha,131.168929701234,RCTA_HallKierAlpha
CAT_fr_C_O,130.535766245717,CAT_fr_C_O
RCTB_RingCount,129.514961550349,RCTB_RingCount
PRO_94,127.793246665652,PRO_94
PRO_46,126.226156894773,PRO_46
RCTB_227,123.995402382499,RCTB_227
PRO_32,123.394156503256,PRO_32
RCTA_BCUT2D_MWHI,122.898780364274,RCTA_BCUT2D_MWHI
PRO_84,122.537613943388,PRO_84
RCTB_SMR_VSA4,122.1125971347,RCTB_SMR_VSA4
RCTA_MolMR,121.849825895169,RCTA_MolMR
RCTA_FpDensityMorgan3,121.723070379612,RCTA_FpDensityMorgan3
CAT_PEOE_VSA10,121.69429858008,CAT_PEOE_VSA10
PRO_fr_para_hydroxylation,121.283000681565,PRO_fr_para_hydroxylation
RCTA_PEOE_VSA7,121.171250127966,RCTA_PEOE_VSA7
CAT_74,120.916915504213,CAT_74
RCTA_NumRotatableBonds,120.535215297137,RCTA_NumRotatableBonds
PRO_102,120.413661953283,PRO_102
PRO_75,119.725139034008,PRO_75
RCTA_SMR_VSA1,119.130905925493,RCTA_SMR_VSA1
PRO_199,118.967996103152,PRO_199
PRO_fr_aniline,118.874471298168,PRO_fr_aniline
RCTA_MaxAbsPartialCharge,118.190149864847,RCTA_MaxAbsPartialCharge
RCTB_fr_ether,118.180477029907,RCTB_fr_ether
RCTB_86,117.883206011656,RCTB_86
PRO_218,117.607071206814,PRO_218
RCTB_PEOE_VSA13,117.589249022261,RCTB_PEOE_VSA13
RCTA_VSA_EState1,117.350541325466,RCTA_VSA_EState1
CAT_111,117.266854685234,CAT_111
PRO_63,114.543447603137,PRO_63
RCTB_151,114.080273149034,RCTB_151
PRO_45,113.886189084462,PRO_45
PRO_233,113.856758884069,PRO_233
RCTA_BCUT2D_MRHI,113.307227879002,RCTA_BCUT2D_MRHI
RCTA_MaxEStateIndex,112.306384637489,RCTA_MaxEStateIndex
PRO_64,111.778301224475,PRO_64
PRO_175,111.606360413689,PRO_175
RCTA_VSA_EState9,111.523475104221,RCTA_VSA_EState9
RCTB_31,109.670926627226,RCTB_31
PRO_183,108.663841986167,PRO_183
CAT_PEOE_VSA3,107.583879966054,CAT_PEOE_VSA3
RCTA_TPSA,107.569265444796,RCTA_TPSA
RCTA_BertzCT,106.140184172808,RCTA_BertzCT
RCTB_206,105.669378371828,RCTB_206
RCTA_Chi4v,105.342828899563,RCTA_Chi4v
RCTB_fr_halogen,105.294775301627,RCTB_fr_halogen
RCTB_158,104.612679711983,RCTB_158
RCTA_SlogP_VSA2,103.628569146714,RCTA_SlogP_VSA2
PRO_216,103.478272801282,PRO_216
PRO_14,102.229118410545,PRO_14
RCTB_175,99.7684399904861,RCTB_175
RCTB_NumAromaticCarbocycles,99.3700230655712,RCTB_NumAromaticCarbocycles
PRO_133,98.4129101421802,PRO_133
RCTA_Chi1v,97.9012125588828,RCTA_Chi1v
RCTB_192,97.4751653271778,RCTB_192
CAT_2,96.9593547441307,CAT_2
RCTB_54,96.6669214874037,RCTB_54
PRO_134,96.5192040957574,PRO_134
RCTA_Chi0n,95.7130322601136,RCTA_Chi0n
RCTA_EState_VSA9,95.4846503634566,RCTA_EState_VSA9
RCTB_NumAliphaticRings,95.1152824842177,RCTB_NumAliphaticRings
PRO_73,94.8950816765457,PRO_73
PRO_29,94.7461495922806,PRO_29
RCTB_Ipc,94.7328164495056,RCTB_Ipc
RCTB_228,94.2161232102743,RCTB_228
PRO_58,93.888209213009,PRO_58
RCTA_MolLogP,93.8502926408606,RCTA_MolLogP
